# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), reg., NRMSE (mean), (std)
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-06,1.0101,1.564349e-01
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-02,0.6608,3.501865e-02
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-04,1.0715,3.221744e-01
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-06,0.8185,1.609853e-01
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-02,1.0561,6.158232e-02
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-04,0.9408,3.311305e-01
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-06,0.8641,5.932117e-02
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-02,0.7621,2.232558e-01
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-04,1.2617,1.585564e-01
5,500,100,0.100,0.800,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-06,0.6215,2.002662e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-02,1.0821,2.613876e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-04,1.1834,2.089371e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-06,0.8571,1.777052e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-02,0.7171,4.870016e-02
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-04,1.1284,1.615206e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-06,0.6760,1.146792e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-02,1.3874,4.265275e-02
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-04,0.7897,1.200650e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-06,0.8512,1.401423e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-02,1.2919,1.021993e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-04,1.1613,2.073682e-01
5,500,100,0.100,0.800,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-06,0.9263,1.518552e-01
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-02,1.3713,1.661704e-02
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-04,1.0061,2.292588e-01
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-06,1.1070,2.275929e-01
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-02,0.5912,6.241706e-02
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-04,1.2378,1.176643e-01
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-06,1.3177,1.632542e-01
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-02,1.4115,1.931894e-02
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-04,1.0537,7.217286e-02
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-06,66667.0047,4.713997e+04
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-02,1.4018,7.566841e-03
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-04,1.1808,2.141483e-01
5,500,100,0.400,0.400,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-06,66667.0499,4.713991e+04
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-02,1.4083,9.322461e-03
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-04,1.0097,2.330533e-01
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-06,33334.2626,4.713979e+04
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-02,0.9416,2.759687e-01
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-04,1.0119,1.911141e-01
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-06,33334.0277,4.713996e+04
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-02,1.3903,1.276780e-02
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-04,33333.9350,4.714003e+04
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-06,1.0980,1.099821e-01
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-02,1.3915,2.944719e-02
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-04,1.1284,6.748622e-02
5,500,100,0.400,0.400,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-06,66667.0599,4.713990e+04
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-02,1.4668,3.675803e-02
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-04,1.2073,2.358576e-01
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-06,66667.0424,4.713992e+04
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-02,0.6234,3.767773e-02
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-04,1.0157,2.227569e-01
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-06,33334.3409,4.713974e+04
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-02,1.4146,3.480021e-02
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-04,0.8948,4.224950e-01
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-06,66667.0380,4.713993e+04
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-02,1.3871,1.547028e-02
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-04,33334.1706,4.713986e+04
5,500,100,0.400,0.400,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-06,33334.1277,4.713989e+04
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-02,1.4116,2.727607e-02
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-04,1.0141,1.534462e-01
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-06,66667.0764,4.713987e+04
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-02,0.7290,1.610300e-01
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-04,1.1477,8.860581e-02
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-06,33334.1268,4.713989e+04
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-02,1.4531,3.379331e-02
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-04,1.0724,1.531012e-01
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-06,33334.2305,4.713982e+04
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-02,1.3737,8.277583e-04
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-04,1.2655,1.561545e-01
5,500,100,0.400,0.400,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-06,1.3045,1.958374e-01
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-02,1.3983,1.228433e-02
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-04,0.9487,2.572935e-01
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-06,1.3089,1.139325e-01
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-02,0.8877,4.169369e-01
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-04,0.7696,6.966024e-02
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-06,1.0967,1.550212e-01
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-02,1.3884,4.180305e-02
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-04,33333.9009,4.714005e+04
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-06,33334.0781,4.713993e+04
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-02,1.3802,8.751240e-03
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-04,0.8727,2.008308e-01
5,500,100,0.400,0.400,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-06,1.3424,7.014128e-02
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-02,1.4454,2.284292e-02
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-04,0.9585,1.533929e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-06,33333.9415,4.714002e+04
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-02,1.0512,2.688385e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-04,0.9599,2.520741e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-06,33334.2702,4.713979e+04
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-02,1.2163,3.781139e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-04,1.0745,1.806625e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-06,1.0275,3.234196e-02
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-02,1.2544,1.909903e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-04,0.8317,2.236163e-01
5,500,100,0.850,0.100,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-06,1.1122,1.218824e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-02,1.3243,4.951539e-02
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-04,0.8924,1.322030e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-06,0.9983,2.988925e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-02,1.1191,2.556119e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-04,0.8182,8.208114e-02
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-06,66667.0991,4.713984e+04
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-02,1.4550,1.883227e-02
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-04,0.8775,3.369245e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-06,1.1511,9.065758e-02
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-02,1.2446,2.365312e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-04,1.0533,2.877743e-01
5,500,100,0.850,0.100,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-06,1.1818,1.075404e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-02,1.4068,5.393854e-02
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-04,0.9346,3.059990e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-06,0.9422,2.198159e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-02,0.9731,3.206624e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-04,0.7496,1.589818e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-06,1.3959,5.937993e-02
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-02,1.4667,3.311121e-02
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-04,0.9378,1.558590e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-06,1.0997,2.239954e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-02,1.4396,3.939529e-02
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-04,1.1659,2.134693e-01
5,500,100,0.850,0.100,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-06,33334.0158,4.713997e+04
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-02,1.4452,1.198263e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-04,1.0544,2.352162e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-06,0.9868,2.576790e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,100.000,10.000,1.00e-02,1.2067,7.433738e-02
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,100.000,10.000,1.00e-04,1.0867,3.980524e-02
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,100.000,10.000,1.00e-06,1.3189,1.314248e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,10.000,100.000,1.00e-02,1.3905,1.389251e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,10.000,100.000,1.00e-04,0.8257,2.890900e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,10.000,100.000,1.00e-06,0.9904,4.113024e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,30.000,80.000,1.00e-02,1.5174,1.607742e-01
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,30.000,80.000,1.00e-04,0.8824,6.585233e-02
5,500,100,0.850,0.100,0.900,0.300,0.500,1.000,30.000,80.000,1.00e-06,1.3274,5.855995e-02
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,60.000,60.000,1.00e-02,1.2587,2.159934e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,60.000,60.000,1.00e-04,0.9879,1.998785e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,60.000,60.000,1.00e-06,0.8606,1.618624e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,100.000,10.000,1.00e-02,0.9513,2.664961e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,100.000,10.000,1.00e-04,1.1552,1.732421e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,100.000,10.000,1.00e-06,33350.7307,4.712815e+04
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,10.000,100.000,1.00e-02,1.1531,4.173285e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,10.000,100.000,1.00e-04,33333.8846,4.714006e+04
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,10.000,100.000,1.00e-06,1.1727,8.815829e-02
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,30.000,80.000,1.00e-02,1.4874,2.039087e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,30.000,80.000,1.00e-04,0.9447,2.380899e-01
5,500,100,0.850,0.100,1.000,0.700,0.500,1.000,30.000,80.000,1.00e-06,33334.1685,4.713986e+04
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-02,1.2086,8.896080e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-04,0.9244,1.557038e-01
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-06,0.8637,8.417973e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-02,1.0479,8.575912e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-04,0.7757,9.127905e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-06,0.7862,5.291319e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-02,0.9400,1.359092e-01
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-04,0.7619,2.197348e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-06,0.9100,5.846358e-02
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-02,1.0269,1.825196e-01
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-04,0.7741,2.546209e-01
5,500,100,0.500,0.100,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-06,0.7695,1.735047e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-02,1.0372,1.608734e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-04,0.7578,2.269704e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-06,0.8518,2.325993e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-02,1.1747,8.340358e-02
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-04,0.8350,1.849319e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-06,0.9840,2.083591e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-02,1.1954,4.254939e-02
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-04,0.9109,2.495111e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-06,0.6056,7.606628e-02
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-02,0.9916,1.567302e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-04,0.8311,1.954238e-01
5,500,100,0.500,0.100,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-06,0.6272,1.129639e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-02,0.8473,1.900806e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-04,0.6628,2.037459e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-06,0.8008,2.057825e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-02,1.0217,2.225765e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-04,0.8856,6.155799e-02
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-06,1.0071,1.264246e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-02,0.9179,1.224591e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-04,0.6493,9.395843e-02
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-06,0.8920,1.338221e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-02,0.9475,1.455964e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-04,0.5408,1.431535e-01
5,500,100,0.500,0.100,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-06,0.9408,1.558220e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-02,1.2519,8.911882e-03
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-04,0.8823,2.324602e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-06,0.8201,1.780473e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,100.000,10.000,1.00e-02,1.2565,2.238541e-02
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,100.000,10.000,1.00e-04,0.7229,1.147933e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,100.000,10.000,1.00e-06,0.9018,1.825327e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,10.000,100.000,1.00e-02,1.2184,1.368157e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,10.000,100.000,1.00e-04,0.8064,1.988115e-02
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,10.000,100.000,1.00e-06,0.7580,2.602978e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,30.000,80.000,1.00e-02,0.9793,1.199358e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,30.000,80.000,1.00e-04,0.7232,1.033639e-01
5,500,100,0.500,0.100,0.900,0.300,0.500,1.000,30.000,80.000,1.00e-06,0.7964,1.497681e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,60.000,60.000,1.00e-02,0.9404,3.036608e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,60.000,60.000,1.00e-04,1.0412,1.524145e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,60.000,60.000,1.00e-06,0.6833,1.538924e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,100.000,10.000,1.00e-02,1.2501,2.126514e-02
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,100.000,10.000,1.00e-04,0.5749,1.869200e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,100.000,10.000,1.00e-06,0.9430,1.930483e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,10.000,100.000,1.00e-02,1.1742,4.650343e-03
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,10.000,100.000,1.00e-04,0.6973,1.412196e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,10.000,100.000,1.00e-06,0.8159,1.623969e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,30.000,80.000,1.00e-02,0.8468,1.389276e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,30.000,80.000,1.00e-04,0.6246,3.677975e-01
5,500,100,0.500,0.100,1.000,0.700,0.500,1.000,30.000,80.000,1.00e-06,0.7671,1.367921e-01
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-02,0.7418,1.266939e-01
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-04,1.3577,4.656055e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,60.000,60.000,1.00e-06,0.7388,9.048238e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-02,0.8211,9.002277e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-04,1.4531,5.714885e-03
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,100.000,10.000,1.00e-06,0.6906,5.604804e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-02,0.6066,5.475258e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-04,1.4042,2.711658e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,10.000,100.000,1.00e-06,0.6784,1.716997e-01
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-02,0.7649,1.601013e-01
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-04,1.3757,6.980751e-02
5,500,100,0.100,0.800,0.400,1.200,0.500,1.000,30.000,80.000,1.00e-06,0.5805,1.105392e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-02,0.6358,2.369725e-02
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-04,1.3601,2.725829e-02
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,60.000,60.000,1.00e-06,0.9257,1.754325e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-02,1.0758,2.762005e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-04,1.4000,5.256633e-02
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,100.000,10.000,1.00e-06,0.8028,1.650397e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-02,0.8706,2.861111e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-04,1.2989,1.314492e-02
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,10.000,100.000,1.00e-06,0.7872,2.309648e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-02,0.9403,2.701906e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-04,1.2943,1.089754e-01
5,500,100,0.100,0.800,1.200,0.400,0.500,1.000,30.000,80.000,1.00e-06,0.7913,2.206290e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-02,0.9302,1.041765e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-04,1.3704,2.963124e-02
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,60.000,60.000,1.00e-06,0.6109,1.175381e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-02,1.0898,1.244932e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-04,1.4286,5.637787e-02
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,100.000,10.000,1.00e-06,1.0014,2.157717e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-02,0.8270,1.075375e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-04,1.4261,1.326515e-02
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,10.000,100.000,1.00e-06,1.0880,1.914292e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-02,0.9823,1.475593e-01
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-04,1.3968,2.402825e-02
5,500,100,0.100,0.800,0.300,0.900,0.500,1.000,30.000,80.000,1.00e-06,0.7539,6.808211e-02
5,500,100,0.100,0.800,0.900,0.300,0.500,1.000,60.000,60.000,1.00e-02,0.7545,1.970480e-01
